key:ID,source,local_id,last_updated,name,source_file,type,:LABEL
"arc/university_of_coimbra,_portugal",arc.gov.au,"university_of_coimbra,_portugal",2023-05-26 11:04:54.128486,"University of coimbra, portugal",node_arc_orgs.csv,organisation,arc;organisation
arc/griffith_university,arc.gov.au,griffith_university,2023-05-26 11:04:54.128574,Griffith university,node_arc_orgs.csv,organisation,arc;organisation
arc/national_museum_of_australia,arc.gov.au,national_museum_of_australia,2023-05-26 11:04:54.128660,National museum of australia,node_arc_orgs.csv,organisation,arc;organisation
"arc/hainan_university,_china",arc.gov.au,"hainan_university,_china",2023-05-26 11:04:54.128797,"Hainan university, china",node_arc_orgs.csv,organisation,arc;organisation
arc/swiss_federal_institute_of_aquatic_science_and_technology,arc.gov.au,swiss_federal_institute_of_aquatic_science_and_technology,2023-05-26 11:04:54.128910,Swiss federal institute of aquatic science and technology,node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_antwerp,_belgium",arc.gov.au,"university_of_antwerp,_belgium",2023-05-26 11:04:54.128950,"University of antwerp, belgium",node_arc_orgs.csv,organisation,arc;organisation
arc/national_ict_australia,arc.gov.au,national_ict_australia,2023-05-26 11:04:54.129038,National ict australia,node_arc_orgs.csv,organisation,arc;organisation
"arc/nanyang_technological_university,_singapore",arc.gov.au,"nanyang_technological_university,_singapore",2023-05-26 11:04:54.129161,"Nanyang technological university, singapore",node_arc_orgs.csv,organisation,arc;organisation
arc/charles_sturt_university,arc.gov.au,charles_sturt_university,2023-05-26 11:04:54.129225,Charles sturt university,node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_paderborn,_germany",arc.gov.au,"university_of_paderborn,_germany",2023-05-26 11:04:54.129312,"University of paderborn, germany",node_arc_orgs.csv,organisation,arc;organisation
"arc/technical_university_of_munich,_germany",arc.gov.au,"technical_university_of_munich,_germany",2023-05-26 11:04:54.129351,"Technical university of munich, germany",node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_victoria,_canada",arc.gov.au,"university_of_victoria,_canada",2023-05-26 11:04:54.129390,"University of victoria, canada",node_arc_orgs.csv,organisation,arc;organisation
arc/centre_for_addiction_and_mental_health,arc.gov.au,centre_for_addiction_and_mental_health,2023-05-26 11:04:54.129599,Centre for addiction and mental health,node_arc_orgs.csv,organisation,arc;organisation
"arc/j._mack_robinson_college_of_business,_usa",arc.gov.au,"j._mack_robinson_college_of_business,_usa",2023-05-26 11:04:54.129712,"J. mack robinson college of business, usa",node_arc_orgs.csv,organisation,arc;organisation
"arc/victoria_university_of_wellington,_nz",arc.gov.au,"victoria_university_of_wellington,_nz",2023-05-26 11:04:54.129752,"Victoria university of wellington, nz",node_arc_orgs.csv,organisation,arc;organisation
arc/duke_university,arc.gov.au,duke_university,2023-05-26 11:04:54.129815,Duke university,node_arc_orgs.csv,organisation,arc;organisation
arc/vienna_university_of_economics_and_business,arc.gov.au,vienna_university_of_economics_and_business,2023-05-26 11:04:54.129862,Vienna university of economics and business ,node_arc_orgs.csv,organisation,arc;organisation
arc/the_london_school_of_economics_and_political_science,arc.gov.au,the_london_school_of_economics_and_political_science,2023-05-26 11:04:54.129902,The london school of economics and political science,node_arc_orgs.csv,organisation,arc;organisation
arc/kent_state_university,arc.gov.au,kent_state_university,2023-05-26 11:04:54.130041,Kent state university,node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_california,_irvine",arc.gov.au,"university_of_california,_irvine",2023-05-26 11:04:54.130227,"University of california, irvine",node_arc_orgs.csv,organisation,arc;organisation
arc/federation_university_australia,arc.gov.au,federation_university_australia,2023-05-26 11:04:54.130339,Federation university australia,node_arc_orgs.csv,organisation,arc;organisation
"arc/university_of_edinburgh,_uk",arc.gov.au,"university_of_edinburgh,_uk",2023-05-26 11:04:54.130427,"University of edinburgh, uk",node_arc_orgs.csv,organisation,arc;organisation
arc/university_of_illinois_at_chicago,arc.gov.au,university_of_illinois_at_chicago,2023-05-26 11:04:54.130491,University of illinois at chicago,node_arc_orgs.csv,organisation,arc;organisation
"arc/joseph_fourier_university,_grenoble_uni",arc.gov.au,"joseph_fourier_university,_grenoble_uni",2023-05-26 11:04:54.130530,"Joseph fourier university, grenoble uni",node_arc_orgs.csv,organisation,arc;organisation
